V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,X1,X2,X3,X4,X5,X6,X7
3.831300e+00+j3.454346e+00,5.517496e+00+j2.807227e+00,6.372200e+00+j1.911793e+00,6.771810e+00+j1.085377e+00,6.925682e+00+j3.730102e-01,6.937785e+00-j2.354707e-01,6.862317e+00-j7.567821e-01,6.729971e+00-j1.205129e+00,6.559661e+00-j1.591479e+00,6.363909e+00-j1.924306e+00,7.16805e-09,7.55565e-09,240,2050.8,2724,1119.6,2073.75
6.430674e-01+j3.579301e+00,2.425752e+00+j6.633505e+00,9.094310e+00+j1.021403e+01,2.054631e+01-j6.343058e-01,1.065972e+01-j1.027603e+01,4.960334e+00-j8.798246e+00,2.822093e+00-j7.076362e+00,1.838959e+00-j5.868350e+00,1.306032e+00-j5.015411e+00,9.827284e-01-j4.386895e+00,3.9831e-09,6.69375e-09,3115.2,1825.2,1856.4,2430,1380
6.857468e-01+j1.794434e+00,1.727077e+00+j2.512204e+00,3.182567e+00+j2.645318e+00,4.607526e+00+j1.888207e+00,5.341860e+00+j4.591921e-01,5.206250e+00-j9.547495e-01,4.577054e+00-j1.918659e+00,3.842297e+00-j2.431752e+00,3.182379e+00-j2.645355e+00,2.641262e+00-j2.690211e+00,3.723e-09,7.293e-09,2055.6,1107.6,1780.8,1275.3,1957.5
1.202248e+01-j5.514852e+00,7.787189e+00-j7.258097e+00,5.104785e+00-j6.944550e+00,3.515441e+00-j6.228856e+00,2.539003e+00-j5.522806e+00,1.908399e+00-j4.912183e+00,1.481824e+00-j4.400894e+00,1.181505e+00-j3.974577e+00,9.628152e-01-j3.617182e+00,7.990319e-01-j3.314961e+00,6.68355e-09,5.1e-08,1849.2,3432,2847.6,1613.7,1023.75
-1.368206e+01-j3.970396e+00,-1.208605e+01-j5.763173e+00,-1.034965e+01-j6.812799e+00,-8.716909e+00-j7.302345e+00,-7.297811e+00-j7.416180e+00,-6.114430e+00-j7.301829e+00,-5.147314e+00-j7.061253e+00,-4.362645e+00-j6.759021e+00,-3.726244e+00-j6.433600e+00,-3.207920e+00-j6.107107e+00,2.8152e-09,6.04095e-09,2262,2211.6,240000,2618.1,1329
1.604734e+00+j2.187299e+00,3.509751e+00+j1.943613e+00,4.565501e+00+j3.065315e-01,4.210850e+00-j1.256989e+00,3.354986e+00-j2.032316e+00,2.583633e+00-j2.274551e+00,2.004420e+00-j2.274801e+00,1.584757e+00-j2.180910e+00,1.278692e+00-j2.056476e+00,1.051227e+00-j1.927664e+00,5.14845e-09,5.0592e-09,2301.6,1666.8,3270,990.9,1841.25
-5.125211e+00+j1.581253e-01,-5.129112e+00+j7.074855e-02,-5.130013e+00+j1.940516e-02,-5.130027e+00-j1.843049e-02,-5.129609e+00-j4.972108e-02,-5.128927e+00-j7.736369e-02,-5.128032e+00-j1.026905e-01,-5.126968e+00-j1.265729e-01,-5.125733e+00-j1.494198e-01,-5.124353e+00-j1.714359e-01,3.26145e-09,6.71925e-09,3525.6,3426,1855.2,1322.1,15
2.691759e+00+j5.516392e+00,5.150326e+00+j6.750030e+00,7.295221e+00+j6.992194e+00,8.946778e+00+j6.721790e+00,1.016350e+01+j6.241901e+00,1.105287e+01+j5.704421e+00,1.170820e+01+j5.176520e+00,1.219810e+01+j4.684271e+00,1.257005e+01+j4.235018e+00,1.285704e+01+j3.828320e+00,6.3903e-09,7.20375e-09,24,3487.2,1330.8,1805.4,971.25
1.725856e+00+j4.275412e+00,4.605332e+00+j5.959561e+00,8.754479e+00+j5.584864e+00,1.193287e+01+j2.142017e+00,1.191613e+01-j2.186647e+00,9.907512e+00-j4.886227e+00,7.732302e+00-j5.954234e+00,6.004946e+00-j6.156754e+00,4.734697e+00-j5.991788e+00,3.807877e+00-j5.692362e+00,4.47015e-09,6.5841e-09,1275.6,1414.8,2362.8,2264.4,1973.25
1.240388e-01+j1.580367e-01,2.009207e-01+j1.581416e-01,2.506320e-01+j1.368841e-01,2.809920e-01+j1.116958e-01,2.996006e-01+j8.790354e-02,3.111182e-01+j6.663944e-02,3.182027e-01+j4.782739e-02,3.223890e-01+j3.111483e-02,3.245889e-01+j1.614110e-02,3.253706e-01+j2.603726e-03,7.11195e-09,5.02605e-09,2594.4,2403.6,240,1430.1,2003.25
1.160583e-01+j3.253305e-01,2.582399e-01+j4.458548e-01,4.245132e-01+j5.061549e-01,5.900391e-01+j5.083509e-01,7.365911e-01+j4.633111e-01,8.540541e-01+j3.854454e-01,9.392543e-01+j2.887300e-01,9.937216e-01+j1.845870e-01,1.021543e+00+j8.126104e-02,1.027766e+00-j1.593433e-02,5.46465e-09,1.24695e-09,2395.2,1756.8,1660.8,1101.6,1759.5
1.026041e+00+j1.779877e+00,2.187497e+00+j2.052632e+00,3.279028e+00+j1.654232e+00,3.945242e+00+j8.149365e-01,4.110848e+00-j1.058243e-01,3.921390e+00-j8.681042e-01,3.559726e+00-j1.404110e+00,3.151178e+00-j1.741456e+00,2.759462e+00-j1.933030e+00,2.409597e+00-j2.026299e+00,2.88405e-09,5.9211e-09,3290.4,2365.2,1710,2070,2039.25
1.540149e+00+j6.019963e-01,1.772575e+00-j7.134669e-02,1.593547e+00-j5.383939e-01,1.322300e+00-j7.740742e-01,1.073350e+00-j8.680955e-01,8.713357e-01-j8.875741e-01,7.133562e-01-j8.704299e-01,5.906698e-01-j8.365453e-01,4.949094e-01-j7.960875e-01,4.194265e-01-j7.541542e-01,7.23945e-09,5.3499e-09,2538,3499.2,3157.2,18,844.5
2.880830e+00+j5.443449e+00,5.645047e+00+j6.516061e+00,8.133312e+00+j6.398168e+00,1.004983e+01+j5.596618e+00,1.139989e+01+j4.487693e+00,1.228650e+01+j3.288215e+00,1.281964e+01+j2.108597e+00,1.309003e+01+j1.000330e+00,1.316649e+01-j1.548617e-02,1.310013e+01-j9.328902e-01,6.09705e-09,4.87815e-09,240,2907.6,2053.2,1493.1,781.5
-1.508627e-01+j5.253455e-01,-3.491839e-01+j7.546882e-01,-6.033095e-01+j9.114451e-01,-8.857191e-01+j9.846103e-01,-1.167971e+00+j9.740309e-01,-1.425196e+00+j8.894271e-01,-1.639447e+00+j7.475091e-01,-1.801173e+00+j5.679671e-01,-1.908580e+00+j3.698743e-01,-1.965705e+00+j1.691570e-01,3.4731e-09,3.74595e-09,2144.4,240,3384,1468.8,1983.75
3.968594e-01+j7.160869e-01,7.952921e-01+j8.430432e-01,1.159805e+00+j7.833926e-01,1.429773e+00+j6.087465e-01,1.596096e+00+j3.849879e-01,1.674458e+00+j1.557924e-01,1.687147e+00-j5.521724e-02,1.654764e+00-j2.378487e-01,1.593686e+00-j3.896570e-01,1.515904e+00-j5.121751e-01,4.62825e-09,3.0345e-09,1603.2,2635.2,1634.4,180,1243.5
6.162203e+00-j2.949879e-01,5.649865e+00-j1.724644e+00,4.881172e+00-j2.514326e+00,4.117438e+00-j2.911588e+00,3.444502e+00-j3.067529e+00,2.881911e+00-j3.081268e+00,2.422461e+00-j3.015554e+00,2.050406e+00-j2.908578e+00,1.749197e+00-j2.782796e+00,1.504385e+00-j2.651104e+00,5.87265e-09,5.1e-08,1436.4,2211.6,1824,1177.2,1607.25
2.549021e+00+j2.722642e+00,4.721209e+00+j1.863957e+00,5.455423e+00-j9.615578e-02,4.914660e+00-j1.632785e+00,4.013996e+00-j2.406796e+00,3.197693e+00-j2.687923e+00,2.556131e+00-j2.723105e+00,2.069627e+00-j2.647794e+00,1.701045e+00-j2.527697e+00,1.418645e+00-j2.393574e+00,5.14845e-09,4.9062e-09,1929.6,2299.2,3477.6,1117.8,1607.25
1.816177e-02+j2.778295e-02,3.092423e-02+j3.032555e-02,3.996508e-02+j2.876078e-02,4.591657e-02+j2.602097e-02,4.984307e-02+j2.322247e-02,5.250138e-02+j2.069978e-02,5.435788e-02+j1.851252e-02,5.569404e-02+j1.663504e-02,5.668201e-02+j1.502117e-02,5.742998e-02+j1.362550e-02,4.4217e-09,5.92875e-09,2245.2,2865.6,24,2007.9,2040
1.190755e+00+j1.537378e+00,2.545904e+00+j1.266214e+00,3.174962e+00+j4.700843e-02,2.827246e+00-j9.924890e-01,2.210940e+00-j1.460452e+00,1.688327e+00-j1.584643e+00,1.305028e+00-j1.562440e+00,1.030173e+00-j1.486678e+00,8.306799e-01-j1.395683e+00,6.827716e-01-j1.304638e+00,7.44855e-09,5.71965e-09,3524.4,1950,1646.4,2067.3,1605.75
